"decimalLatitude","decimalLongitude","individualCount","family","species","year","month","day","datasetName","gbifID","lifeStage"
35.120399,-106.486886,NA,"Hesperiidae","Erynnis telemachus",2022,3,28,"iNaturalist research-grade observations","3759114240",NA
35.120363,-106.486277,NA,"Hesperiidae","Erynnis brizo",2022,3,27,"iNaturalist research-grade observations","3759155178",NA
35.085339,-106.623,NA,"Hesperiidae","Erynnis funeralis",2022,4,21,"iNaturalist research-grade observations","3764364545",NA
35.069834,-106.602353,NA,"Hesperiidae","Erynnis funeralis",2022,5,8,"iNaturalist research-grade observations","3773315647",NA
35.135773,-106.481681,NA,"Hesperiidae","Epargyreus clarus",2022,5,1,"iNaturalist research-grade observations","3773486942",NA
35.131193,-106.483879,NA,"Hesperiidae","Hesperia pahaska",2022,5,26,"iNaturalist research-grade observations","3802447075",NA
35.136036,-106.481995,NA,"Hesperiidae","Erynnis brizo",2021,4,19,"iNaturalist research-grade observations","3455356088",NA
35.128647,-106.548514,NA,"Hesperiidae",NA,2021,5,24,"iNaturalist research-grade observations","3455784031","Adult"
35.126354,-106.501298,NA,"Hesperiidae",NA,2021,6,22,"iNaturalist research-grade observations","3455445490",NA
35.117355,-106.568785,NA,"Hesperiidae",NA,2021,6,18,"iNaturalist research-grade observations","3455909685",NA
35.053089,-106.496684,NA,"Hesperiidae","Hylephila phyleus",2021,7,29,"iNaturalist research-grade observations","3384609920","Adult"
35.147793,-106.537981,NA,"Hesperiidae","Hylephila phyleus",2021,8,25,"iNaturalist research-grade observations","3343996926",NA
35.082161,-106.6238,NA,"Hesperiidae","Hylephila phyleus",2021,8,24,"iNaturalist research-grade observations","3344080783",NA
35.084386,-106.650422,NA,"Hesperiidae","Hylephila phyleus",2021,8,12,"iNaturalist research-grade observations","3355638097",NA
35.131092,-106.681258,NA,"Hesperiidae",NA,2021,8,1,"iNaturalist research-grade observations","3384458024",NA
35.107608,-106.552751,NA,"Hesperiidae","Hylephila phyleus",2021,8,15,"iNaturalist research-grade observations","3398646751",NA
35.148002,-106.508098,NA,"Hesperiidae","Hylephila phyleus",2021,9,26,"iNaturalist research-grade observations","3384092514",NA
35.095897,-106.684075,NA,"Hesperiidae","Ancyloxypha arene",2021,9,23,"iNaturalist research-grade observations","3384102982",NA
35.1357,-106.52458,NA,"Hesperiidae","Hylephila phyleus",2021,9,29,"iNaturalist research-grade observations","3384120717",NA
35.128897,-106.686018,NA,"Hesperiidae","Hylephila phyleus",2021,9,25,"iNaturalist research-grade observations","3385122408",NA
35.080601,-106.671729,NA,"Hesperiidae","Erynnis funeralis",2021,9,10,"iNaturalist research-grade observations","3455486754",NA
35.096167,-106.476518,NA,"Hesperiidae","Hesperia pahaska",2021,9,25,"iNaturalist research-grade observations","3456209063",NA
35.09916,-106.611763,NA,"Hesperiidae","Hylephila phyleus",2021,10,10,"iNaturalist research-grade observations","3391299897",NA
35.129721,-106.684476,NA,"Hesperiidae",NA,2021,10,10,"iNaturalist research-grade observations","3391351905",NA
35.081439,-106.623688,NA,"Hesperiidae","Hylephila phyleus",2021,10,9,"iNaturalist research-grade observations","3391361824",NA
35.085521,-106.672817,NA,"Hesperiidae","Hylephila phyleus",2021,10,7,"iNaturalist research-grade observations","3391416649",NA
35.1232,-106.49754,NA,"Hesperiidae","Erynnis funeralis",2021,10,11,"iNaturalist research-grade observations","3391493001",NA
35.081464,-106.623725,NA,"Hesperiidae","Hylephila phyleus",2021,10,8,"iNaturalist research-grade observations","3391710645",NA
35.192571,-106.741604,NA,"Hesperiidae","Hylephila phyleus",2021,10,6,"iNaturalist research-grade observations","3391711175","Adult"
35.136033,-106.521722,NA,"Hesperiidae","Hylephila phyleus",2021,10,15,"iNaturalist research-grade observations","3398750039",NA
35.104659,-106.620327,NA,"Hesperiidae","Hylephila phyleus",2021,10,18,"iNaturalist research-grade observations","3398817414",NA
35.081453,-106.623733,NA,"Hesperiidae","Hylephila phyleus",2021,10,19,"iNaturalist research-grade observations","3398837515",NA
35.081445,-106.623612,NA,"Hesperiidae","Hylephila phyleus",2021,10,4,"iNaturalist research-grade observations","3399117876",NA
35.084505,-106.497981,NA,"Hesperiidae","Hylephila phyleus",2021,10,17,"iNaturalist research-grade observations","3399208286",NA
35.096832,-106.620819,NA,"Hesperiidae","Hylephila phyleus",2021,10,22,"iNaturalist research-grade observations","3399352794",NA
35.100728,-106.487708,NA,"Hesperiidae",NA,2021,10,20,"iNaturalist research-grade observations","3399385600",NA
35.135108,-106.527847,NA,"Hesperiidae",NA,2021,10,29,"iNaturalist research-grade observations","3407913713",NA
35.1509,-106.48461,NA,"Hesperiidae","Hylephila phyleus",2021,10,22,"iNaturalist research-grade observations","3407920006",NA
35.130475,-106.682845,2,"Hesperiidae","Pyrgus communis",2021,10,2,"eButterfly","3427481955",NA
35.10468,-106.620367,1,"Hesperiidae","Hylephila phyleus",2021,10,18,"eButterfly","3427481971",NA
35.130475,-106.682845,1,"Hesperiidae","Hylephila phyleus",2021,10,2,"eButterfly","3427497096",NA
35.099084,-106.471756,NA,"Hesperiidae","Copaeodes aurantiaca",2021,10,14,"iNaturalist research-grade observations","3456127658",NA
35.128107,-106.686036,NA,"Hesperiidae","Ancyloxypha arene",2021,10,10,"iNaturalist research-grade observations","3456677771",NA
35.127695,-106.686183,NA,"Hesperiidae","Ancyloxypha arene",2021,10,3,"iNaturalist research-grade observations","3456869349",NA
35.129698,-106.684875,NA,"Hesperiidae",NA,2021,10,3,"iNaturalist research-grade observations","3465943559",NA
35.086051,-106.622867,NA,"Hesperiidae","Hylephila phyleus",2021,11,1,"iNaturalist research-grade observations","3408228990",NA
35.119646,-106.65719,NA,"Hesperiidae",NA,2021,11,5,"iNaturalist research-grade observations","3415360124",NA
35.141819,-106.666516,1,"Hesperiidae","Poanes taxiles",2020,6,25,"eButterfly","3427470916",NA
35.120996,-106.59168,NA,"Hesperiidae","Hylephila phyleus",2020,8,12,"iNaturalist research-grade observations","2851266589",NA
35.130025,-106.605624,NA,"Hesperiidae","Hylephila phyleus",2020,10,6,"iNaturalist research-grade observations","2883197874","Adult"
35.082377,-106.619422,NA,"Hesperiidae","Hylephila phyleus",2020,10,14,"iNaturalist research-grade observations","2898517250",NA
35.187465,-106.69148,NA,"Hesperiidae",NA,2019,10,16,"iNaturalist research-grade observations","3468734141",NA
35.186711,-106.691631,NA,"Hesperiidae",NA,2019,10,16,"iNaturalist research-grade observations","3468886204",NA
35.135321,-106.775286,NA,"Hesperiidae",NA,2019,11,2,"iNaturalist research-grade observations","3469049186",NA
35.111367,-106.65985,NA,"Hesperiidae","Hylephila phyleus",2018,8,2,"iNaturalist research-grade observations","2823113329",NA
35.151977,-106.551994,NA,"Hesperiidae","Hylephila phyleus",2018,9,14,"iNaturalist research-grade observations","2013727577",NA
35.119611,-106.65747,NA,"Hesperiidae","Hylephila phyleus",2018,10,8,"iNaturalist research-grade observations","1920822152",NA
35.092796,-106.681582,NA,"Hesperiidae","Hylephila phyleus",2018,10,21,"iNaturalist research-grade observations","1932334656",NA
35.099722,-106.47166,1,"Hesperiidae","Pyrgus communis",2017,4,8,"eButterfly","3397636357",NA
35.099722,-106.47166,2,"Hesperiidae","Zestusa dorus",2017,4,8,"eButterfly","3397669349",NA
35.100905,-106.755292,NA,"Hesperiidae","Hylephila phyleus",2017,9,24,"iNaturalist research-grade observations","1802709888",NA
35.093301,-106.679551,NA,"Hesperiidae",NA,2016,7,2,"iNaturalist research-grade observations","1453280268",NA
35.119461,-106.65736,NA,"Hesperiidae","Hylephila phyleus",2016,10,14,"iNaturalist research-grade observations","1880502141",NA
35.077626,-106.663066,NA,"Hesperiidae","Hylephila phyleus",2014,8,15,"iNaturalist research-grade observations","2563489215",NA
35.130017,-106.684155,1,"Hesperiidae","Pyrgus communis",2014,8,23,"eButterfly","3397598449",NA
35.09895,-106.479642,1,"Hesperiidae","Erynnis funeralis",2013,8,24,"eButterfly","3397663359",NA
35.143459,-106.657999,1,"Hesperiidae","Hylephila phyleus",2011,10,14,"eButterfly","3397521758",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3742997134","Adult"
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743004167",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743033183",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743051229",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743070118",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743167658",NA
35.103875,-106.484425,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,15,"iNaturalist research-grade observations","3743168794",NA
35.112977,-106.480585,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,13,"iNaturalist research-grade observations","3743294781",NA
35.097744,-106.481581,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,20,"iNaturalist research-grade observations","3747046006",NA
35.103456,-106.485096,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,19,"iNaturalist research-grade observations","3747211735",NA
35.103456,-106.485096,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,19,"iNaturalist research-grade observations","3747266618",NA
35.120413,-106.486999,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,27,"iNaturalist research-grade observations","3759100134",NA
35.12041,-106.486844,NA,"Lycaenidae","Strymon melinus",2022,3,28,"iNaturalist research-grade observations","3759101237",NA
35.10041,-106.476649,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,25,"iNaturalist research-grade observations","3759159970",NA
35.104028,-106.484679,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759205033",NA
35.047695,-106.480449,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759566007",NA
35.104028,-106.484679,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759599043",NA
35.046956,-106.481434,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759647007",NA
35.104028,-106.484679,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759840075",NA
35.104028,-106.484679,NA,"Lycaenidae","Sandia mcfarlandi",2022,3,26,"iNaturalist research-grade observations","3759866016",NA
35.101143,-106.483393,NA,"Lycaenidae","Sandia mcfarlandi",2022,4,2,"iNaturalist research-grade observations","3759371693",NA
35.137345,-106.480433,NA,"Lycaenidae","Sandia mcfarlandi",2022,4,2,"iNaturalist research-grade observations","3759634713",NA
35.081019,-106.482503,NA,"Lycaenidae","Sandia mcfarlandi",2022,4,21,"iNaturalist research-grade observations","3759936703",NA
35.045663,-106.482029,NA,"Lycaenidae","Sandia mcfarlandi",2022,4,7,"iNaturalist research-grade observations","3760310169",NA
35.09577,-106.614158,NA,"Lycaenidae","Strymon melinus",2022,4,30,"iNaturalist research-grade observations","3772755950",NA
35.135773,-106.481681,NA,"Lycaenidae","Sandia mcfarlandi",2022,5,1,"iNaturalist research-grade observations","3772475917",NA
35.135773,-106.481681,NA,"Lycaenidae","Celastrina ladon",2022,5,1,"iNaturalist research-grade observations","3772528924",NA
35.135773,-106.481681,NA,"Lycaenidae","Mitoura gryneus",2022,5,1,"iNaturalist research-grade observations","3772531021",NA
35.135971,-106.48192,NA,"Lycaenidae","Leptotes marina",2022,5,2,"iNaturalist research-grade observations","3772545870",NA
35.146066,-106.510147,NA,"Lycaenidae","Strymon melinus",2022,5,2,"iNaturalist research-grade observations","3772913636",NA
35.079156,-106.624925,NA,"Lycaenidae","Leptotes marina",2022,5,2,"iNaturalist research-grade observations","3773072087",NA
35.079219,-106.625095,NA,"Lycaenidae","Leptotes marina",2022,5,2,"iNaturalist research-grade observations","3773224078",NA
35.136377,-106.480727,NA,"Lycaenidae","Echinargus isola",2022,5,9,"iNaturalist research-grade observations","3773409748",NA
35.08407,-106.62227,NA,"Lycaenidae","Leptotes marina",2022,5,2,"iNaturalist research-grade observations","3773507786",NA
35.135773,-106.481681,NA,"Lycaenidae","Celastrina ladon",2022,5,1,"iNaturalist research-grade observations","3773573407",NA
35.135773,-106.481681,NA,"Lycaenidae","Callophrys spinetorum",2022,5,1,"iNaturalist research-grade observations","3773711072",NA
35.082875,-106.619583,NA,"Lycaenidae","Strymon melinus",2022,5,9,"iNaturalist research-grade observations","3773817021",NA
35.093175,-106.518788,NA,"Lycaenidae","Echinargus isola",2022,5,15,"iNaturalist research-grade observations","3784655007",NA
35.136807,-106.480848,NA,"Lycaenidae","Strymon melinus",2022,5,16,"iNaturalist research-grade observations","3785014860",NA
35.137587,-106.480897,NA,"Lycaenidae","Sandia mcfarlandi",2022,5,21,"iNaturalist research-grade observations","3802294769","Adult"
35.092818,-106.621693,NA,"Lycaenidae","Leptotes marina",2022,5,24,"iNaturalist research-grade observations","3802319260",NA
35.138068,-106.481136,NA,"Lycaenidae","Sandia mcfarlandi",2022,5,21,"iNaturalist research-grade observations","3802329905",NA
35.138009,-106.481149,NA,"Lycaenidae","Sandia mcfarlandi",2022,5,21,"iNaturalist research-grade observations","3802340882",NA
35.172936,-106.680457,NA,"Lycaenidae","Strymon melinus",2022,5,22,"iNaturalist research-grade observations","3802348994",NA
35.111503,-106.492333,NA,"Lycaenidae","Strymon melinus",2022,5,22,"iNaturalist research-grade observations","3802374821",NA
35.083841,-106.516628,NA,"Lycaenidae","Leptotes marina",2022,5,25,"iNaturalist research-grade observations","3802400111",NA
35.130906,-106.484169,NA,"Lycaenidae","Sandia mcfarlandi",2022,5,26,"iNaturalist research-grade observations","3802423261",NA
35.092433,-106.620214,NA,"Lycaenidae","Leptotes marina",2022,5,24,"iNaturalist research-grade observations","3802456535",NA
35.092379,-106.619847,NA,"Lycaenidae","Echinargus isola",2022,5,24,"iNaturalist research-grade observations","3802463376",NA
35.092573,-106.621242,NA,"Lycaenidae","Leptotes marina",2022,5,24,"iNaturalist research-grade observations","3802566586",NA
35.130884,-106.484198,NA,"Lycaenidae","Leptotes marina",2022,5,20,"iNaturalist research-grade observations","3802567685",NA
35.101314,-106.62368,NA,"Lycaenidae","Echinargus isola",2022,5,24,"iNaturalist research-grade observations","3802702731",NA
35.111561,-106.492613,NA,"Lycaenidae","Strymon melinus",2022,5,23,"iNaturalist research-grade observations","3802753515",NA
35.111558,-106.492638,NA,"Lycaenidae","Leptotes marina",2022,5,23,"iNaturalist research-grade observations","3802814311",NA
35.113975,-106.486769,NA,"Lycaenidae","Sandia mcfarlandi",2021,4,2,"iNaturalist research-grade observations","3079839328","Adult"
35.105481,-106.484416,NA,"Lycaenidae","Strymon melinus",2021,4,10,"iNaturalist research-grade observations","3090916330",NA
35.119332,-106.657116,NA,"Lycaenidae","Leptotes marina",2021,5,1,"iNaturalist research-grade observations","3112391288",NA
35.143732,-106.7686,NA,"Lycaenidae","Leptotes marina",2021,5,15,"iNaturalist research-grade observations","3118223742","Adult"
35.082972,-106.619963,NA,"Lycaenidae","Leptotes marina",2021,5,27,"iNaturalist research-grade observations","3124927338",NA
35.098066,-106.597576,NA,"Lycaenidae","Leptotes marina",2021,5,23,"iNaturalist research-grade observations","3301907910",NA
35.088347,-106.524105,NA,"Lycaenidae","Leptotes marina",2021,5,20,"iNaturalist research-grade observations","3320942441",NA
35.07856,-106.479023,NA,"Lycaenidae","Apodemia mormo",2021,5,3,"iNaturalist research-grade observations","3759505551",NA
35.043457,-106.598687,NA,"Lycaenidae","Sandia mcfarlandi",2021,6,1,"iNaturalist research-grade observations","3302058996",NA
35.044568,-106.599072,NA,"Lycaenidae","Leptotes marina",2021,6,3,"iNaturalist research-grade observations","3302106479",NA
35.100604,-106.488627,NA,"Lycaenidae","Echinargus isola",2021,6,20,"iNaturalist research-grade observations","3314197009","Adult"
35.100611,-106.488587,NA,"Lycaenidae","Echinargus isola",2021,6,18,"iNaturalist research-grade observations","3314471748","Adult"
35.139926,-106.596846,NA,"Lycaenidae","Leptotes marina",2021,6,4,"iNaturalist research-grade observations","3320858489","Adult"
35.186328,-106.588156,NA,"Lycaenidae","Leptotes marina",2021,6,15,"iNaturalist research-grade observations","3320888527","Adult"
35.097111,-106.47262,NA,"Lycaenidae","Strymon melinus",2021,7,24,"iNaturalist research-grade observations","3333328878",NA
35.056689,-106.586175,NA,"Lycaenidae","Echinargus isola",2021,7,30,"iNaturalist research-grade observations","3335081761",NA
35.136956,-106.531988,NA,"Lycaenidae","Brephidium exilis",2021,7,30,"iNaturalist research-grade observations","3343742528",NA
35.078658,-106.605888,NA,"Lycaenidae","Brephidium exilis",2021,8,12,"iNaturalist research-grade observations","3337579798",NA
35.156686,-106.60343,NA,"Lycaenidae","Brephidium exilis",2021,8,2,"iNaturalist research-grade observations","3337734944",NA
35.1292,-106.68267,NA,"Lycaenidae","Atlides halesus",2021,8,14,"iNaturalist research-grade observations","3337743393",NA
35.129238,-106.682856,NA,"Lycaenidae","Leptotes marina",2021,8,14,"iNaturalist research-grade observations","3337981590",NA
35.129238,-106.682856,NA,"Lycaenidae","Atlides halesus",2021,8,14,"iNaturalist research-grade observations","3338048972",NA
35.156672,-106.603438,NA,"Lycaenidae","Brephidium exilis",2021,8,20,"iNaturalist research-grade observations","3343706919",NA
35.09473,-106.622454,NA,"Lycaenidae","Brephidium exilis",2021,8,22,"iNaturalist research-grade observations","3343790172",NA
35.135392,-106.512616,NA,"Lycaenidae","Brephidium exilis",2021,8,22,"iNaturalist research-grade observations","3343876188",NA
35.09927,-106.490631,NA,"Lycaenidae","Brephidium exilis",2021,8,23,"iNaturalist research-grade observations","3343964656",NA
35.138292,-106.616578,NA,"Lycaenidae","Brephidium exilis",2021,8,8,"iNaturalist research-grade observations","3343988952",NA
35.132995,-106.542203,NA,"Lycaenidae","Brephidium exilis",2021,8,29,"iNaturalist research-grade observations","3355457235","Adult"
35.162099,-106.716725,NA,"Lycaenidae","Echinargus isola",2021,8,22,"iNaturalist research-grade observations","3355483934","Adult"
35.131045,-106.681199,NA,"Lycaenidae","Brephidium exilis",2021,8,14,"iNaturalist research-grade observations","3383919002",NA
35.13105,-106.681189,NA,"Lycaenidae","Brephidium exilis",2021,8,14,"iNaturalist research-grade observations","3384188042",NA
35.063325,-106.596795,NA,"Lycaenidae","Brephidium exilis",2021,9,2,"iNaturalist research-grade observations","3355134697","Adult"
35.101479,-106.488553,NA,"Lycaenidae","Brephidium exilis",2021,9,3,"iNaturalist research-grade observations","3355555822",NA
35.160351,-106.572888,NA,"Lycaenidae","Brephidium exilis",2021,9,16,"iNaturalist research-grade observations","3383994122",NA
35.102764,-106.661225,NA,"Lycaenidae","Brephidium exilis",2021,9,5,"iNaturalist research-grade observations","3384021462",NA
35.131299,-106.68433,NA,"Lycaenidae","Echinargus isola",2021,9,18,"iNaturalist research-grade observations","3384255454",NA
35.096581,-106.622903,NA,"Lycaenidae","Brephidium exilis",2021,9,15,"iNaturalist research-grade observations","3384347054","Adult"
35.147911,-106.508198,NA,"Lycaenidae","Brephidium exilis",2021,9,27,"iNaturalist research-grade observations","3384398471",NA
35.102003,-106.483487,NA,"Lycaenidae","Icaricia lupini",2021,9,27,"iNaturalist research-grade observations","3384532606",NA
35.091013,-106.611239,NA,"Lycaenidae","Brephidium exilis",2021,9,23,"iNaturalist research-grade observations","3384697006",NA
35.0808,-106.673622,NA,"Lycaenidae","Atlides halesus",2021,9,20,"iNaturalist research-grade observations","3385068721",NA
35.128956,-106.682183,NA,"Lycaenidae","Brephidium exilis",2021,10,2,"iNaturalist research-grade observations","3391331084",NA
35.131021,-106.480286,NA,"Lycaenidae","Echinargus isola",2021,10,17,"iNaturalist research-grade observations","3398653287",NA
35.099295,-106.472802,NA,"Lycaenidae","Brephidium exilis",2021,10,14,"iNaturalist research-grade observations","3398654020",NA
35.129048,-106.68574,NA,"Lycaenidae","Brephidium exilis",2021,10,23,"iNaturalist research-grade observations","3398782948",NA
35.114837,-106.678528,NA,"Lycaenidae","Brephidium exilis",2021,10,18,"iNaturalist research-grade observations","3398873394",NA
35.114649,-106.678708,NA,"Lycaenidae","Brephidium exilis",2021,10,18,"iNaturalist research-grade observations","3398886355",NA
35.114659,-106.678612,NA,"Lycaenidae","Brephidium exilis",2021,10,18,"iNaturalist research-grade observations","3398968420",NA
35.06847,-106.658803,NA,"Lycaenidae","Hemiargus ceraunus",2021,10,31,"iNaturalist research-grade observations","3408250934",NA
35.147045,-106.484737,NA,"Lycaenidae","Icaricia lupini",2021,10,22,"iNaturalist research-grade observations","3415657091",NA
35.130475,-106.682845,40,"Lycaenidae","Brephidium exilis",2021,10,2,"eButterfly","3427491979",NA
35.081314,-106.654647,NA,"Lycaenidae","Brephidium exilis",2021,11,3,"iNaturalist research-grade observations","3415410113",NA
35.119646,-106.657179,NA,"Lycaenidae","Brephidium exilis",2021,11,6,"iNaturalist research-grade observations","3415445097","Adult"
35.129256,-106.684393,NA,"Lycaenidae","Brephidium exilis",2021,11,7,"iNaturalist research-grade observations","3415741387",NA
35.11971,-106.657193,NA,"Lycaenidae","Brephidium exilis",2021,11,6,"iNaturalist research-grade observations","3416227463","Adult"
35.106294,-106.486443,NA,"Lycaenidae","Sandia mcfarlandi",2020,3,7,"iNaturalist research-grade observations","2579249002",NA
35.088767,-106.684581,NA,"Lycaenidae","Strymon melinus",2020,5,19,"iNaturalist research-grade observations","2626223250",NA
35.187922,-106.48838,NA,"Lycaenidae","Strymon melinus",2020,5,9,"iNaturalist research-grade observations","2626637379",NA
35.146439,-106.780714,NA,"Lycaenidae","Strymon melinus",2020,5,14,"iNaturalist research-grade observations","2633961695",NA
35.166783,-106.608322,NA,"Lycaenidae","Strymon melinus",2020,5,22,"iNaturalist research-grade observations","2634255873",NA
35.100989,-106.666391,NA,"Lycaenidae","Strymon melinus",2020,5,4,"iNaturalist research-grade observations","2634272573",NA
35.12027,-106.684687,NA,"Lycaenidae","Strymon melinus",2020,5,30,"iNaturalist research-grade observations","2634535498",NA
35.166805,-106.608275,NA,"Lycaenidae","Echinargus isola",2020,6,26,"iNaturalist research-grade observations","2813887058",NA
35.12321,-106.49754,NA,"Lycaenidae","Echinargus isola",2020,6,27,"iNaturalist research-grade observations","2813944201",NA
35.170208,-106.781584,NA,"Lycaenidae","Strymon melinus",2020,6,26,"iNaturalist research-grade observations","2814057914","Adult"
35.144947,-106.58391,NA,"Lycaenidae","Brephidium exilis",2020,6,26,"iNaturalist research-grade observations","3468934454",NA
35.07098,-106.616506,NA,"Lycaenidae","Brephidium exilis",2020,7,15,"iNaturalist research-grade observations","2850641781",NA
35.089603,-106.699854,1,"Lycaenidae","Brephidium exilis",2020,7,5,"eButterfly","3427527020",NA
35.091689,-106.67324,NA,"Lycaenidae","Strymon melinus",2020,8,3,"iNaturalist research-grade observations","2850730466",NA
35.099339,-106.598089,NA,"Lycaenidae","Leptotes marina",2020,8,31,"iNaturalist research-grade observations","2860253386",NA
34.98226,-106.616502,NA,"Lycaenidae","Brephidium exilis",2020,8,14,"iNaturalist research-grade observations","2988515639","Adult"
35.096092,-106.669901,NA,"Lycaenidae","Brephidium exilis",2020,9,18,"iNaturalist research-grade observations","2868081585",NA
35.096312,-106.669458,NA,"Lycaenidae","Brephidium exilis",2020,9,2,"iNaturalist research-grade observations","3031857958",NA
